negatives
"frozenset({'P83876', 'AndrogenReceptor', 'O75643'})"
"frozenset({'Q15750', 'AndrogenReceptor', 'Q9HCE7'})"
"frozenset({'P13612', 'AndrogenReceptor', 'O95782'})"
"frozenset({'O75448', 'AndrogenReceptor', 'P05067'})"
"frozenset({'P46937', 'AndrogenReceptor', 'Q9NXG2'})"
"frozenset({'P51148', 'AndrogenReceptor', 'Q6XUX3'})"
"frozenset({'AndrogenReceptor', 'Q8N7H5', 'P48431'})"
"frozenset({'AndrogenReceptor', 'P48426', 'P42680'})"
"frozenset({'Q53TN4', 'Q9Y3E0', 'AndrogenReceptor'})"
"frozenset({'Q3KNS6', 'AndrogenReceptor', 'Q13263'})"
"frozenset({'P28066', 'P82933', 'AndrogenReceptor'})"
"frozenset({'Q9UHJ3', 'O00716', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O00401', 'Q92558'})"
"frozenset({'Q13619', 'AndrogenReceptor', 'Q00987'})"
"frozenset({'AndrogenReceptor', 'Q9H9S0', 'O15371'})"
"frozenset({'Q96I15', 'O14562', 'AndrogenReceptor'})"
"frozenset({'P01137', 'AndrogenReceptor', 'Q15717'})"
"frozenset({'Q92963', 'AndrogenReceptor', 'O00458'})"
"frozenset({'O43889', 'O15400', 'AndrogenReceptor'})"
"frozenset({'Q49AN0', 'P15880', 'AndrogenReceptor'})"
"frozenset({'O00214', 'AndrogenReceptor', 'Q7Z5N4'})"
"frozenset({'AndrogenReceptor', 'O95967', 'Q86YD7'})"
"frozenset({'Q9Y5J6', 'AndrogenReceptor', 'P62072'})"
"frozenset({'P62333', 'O15344', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q13772', 'P02794'})"
"frozenset({'Q16543', 'Q92956', 'AndrogenReceptor'})"
"frozenset({'Q9NUX5', 'AndrogenReceptor', 'Q8WXG6'})"
"frozenset({'O15525', 'Q9ULX9', 'AndrogenReceptor'})"
"frozenset({'Q14CS0', 'P67809', 'AndrogenReceptor'})"
"frozenset({'Q15910', 'Q9H5J8', 'AndrogenReceptor'})"
"frozenset({'Q9C0K0', 'O14862', 'AndrogenReceptor'})"
"frozenset({'Q15052', 'AndrogenReceptor', 'P01111'})"
"frozenset({'P27482', 'AndrogenReceptor', 'Q8IU85'})"
"frozenset({'P12931', 'AndrogenReceptor', 'Q9UPX8'})"
"frozenset({'Q6PCD5', 'P27824', 'AndrogenReceptor'})"
"frozenset({'P29474', 'AndrogenReceptor', 'Q9NZ01'})"
"frozenset({'Q9NX76', 'Q8IZU0', 'AndrogenReceptor'})"
"frozenset({'Q13485', 'AndrogenReceptor', 'O14640'})"
"frozenset({'O75461', 'AndrogenReceptor', 'Q96B01'})"
"frozenset({'Q01105', 'AndrogenReceptor', 'O76081'})"
"frozenset({'Q5T700', 'O95159', 'AndrogenReceptor'})"
"frozenset({'O00257', 'P24864', 'AndrogenReceptor'})"
"frozenset({'P17174', 'AndrogenReceptor', 'P04181'})"
"frozenset({'Q99497', 'AndrogenReceptor', 'Q8WXI9'})"
"frozenset({'P56545', 'AndrogenReceptor', 'P05067'})"
"frozenset({'Q96GG9', 'AndrogenReceptor', 'P23508'})"
"frozenset({'P29320', 'P52799', 'AndrogenReceptor'})"
"frozenset({'Q9NRR5', 'AndrogenReceptor', 'Q12933'})"
"frozenset({'AndrogenReceptor', 'Q07954', 'P98082'})"
"frozenset({'Q5T160', 'Q8NCN5', 'AndrogenReceptor'})"
"frozenset({'O60841', 'AndrogenReceptor', 'O75147'})"
"frozenset({'Q14568', 'AndrogenReceptor', 'P05412'})"
"frozenset({'P35249', 'AndrogenReceptor', 'Q9UPN9'})"
"frozenset({'Q08881', 'AndrogenReceptor', 'P62993'})"
"frozenset({'Q9NQX4', 'P09497', 'AndrogenReceptor'})"
"frozenset({'P19961', 'P01100', 'AndrogenReceptor'})"
"frozenset({'O15296', 'AndrogenReceptor', 'Q9H3M0'})"
"frozenset({'Q86VP6', 'AndrogenReceptor', 'P26599'})"
"frozenset({'Q13509', 'AndrogenReceptor', 'O00423'})"
"frozenset({'AndrogenReceptor', 'P50552', 'O15117'})"
"frozenset({'Q9BPW9', 'Q8WWB7', 'AndrogenReceptor'})"
"frozenset({'P46108', 'AndrogenReceptor', 'P10275'})"
"frozenset({'P00352', 'P35228', 'AndrogenReceptor'})"
"frozenset({'P42166', 'AndrogenReceptor', 'O15264'})"
"frozenset({'Q9UGN5', 'Q7Z3G6', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P61247', 'Q9HCE7'})"
"frozenset({'Q86VP6', 'Q969W9', 'AndrogenReceptor'})"
"frozenset({'Q8N1F7', 'Q8IY92', 'AndrogenReceptor'})"
"frozenset({'A2RTX5', 'AndrogenReceptor', 'Q9BW92'})"
"frozenset({'O14818', 'AndrogenReceptor', 'O60260'})"
"frozenset({'Q14254', 'Q9BX66', 'AndrogenReceptor'})"
"frozenset({'Q9Y490', 'AndrogenReceptor', 'P05556'})"
"frozenset({'Q8NCR6', 'O95833', 'AndrogenReceptor'})"
"frozenset({'P62333', 'AndrogenReceptor', 'Q9UL46'})"
"frozenset({'Q96G04', 'AndrogenReceptor', 'Q86T90'})"
"frozenset({'Q9NVM6', 'Q9HB07', 'AndrogenReceptor'})"
"frozenset({'P40337', 'Q9H0E3', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O60264', 'Q16576'})"
"frozenset({'AndrogenReceptor', 'Q13465', 'Q13547'})"
"frozenset({'Q9Y4A5', 'AndrogenReceptor', 'P17480'})"
"frozenset({'Q9UQR1', 'O14862', 'AndrogenReceptor'})"
"frozenset({'P46736', 'Q14676', 'AndrogenReceptor'})"
"frozenset({'P03372', 'AndrogenReceptor', 'O75475'})"
"frozenset({'P07942', 'AndrogenReceptor', 'P26012'})"
"frozenset({'Q15650', 'Q96Q83', 'AndrogenReceptor'})"
"frozenset({'Q13432', 'AndrogenReceptor', 'P04183'})"
"frozenset({'P62847', 'Q13618', 'AndrogenReceptor'})"
"frozenset({'P78362', 'AndrogenReceptor', 'P14678'})"
"frozenset({'Q96KM6', 'P52747', 'AndrogenReceptor'})"
"frozenset({'P78417', 'Q9GZZ9', 'AndrogenReceptor'})"
"frozenset({'Q8IUN9', 'Q9H115', 'AndrogenReceptor'})"
"frozenset({'P49748', 'AndrogenReceptor', 'Q9NQX3'})"
"frozenset({'Q9Y6E0', 'Q01844', 'AndrogenReceptor'})"
"frozenset({'O43255', 'AndrogenReceptor', 'Q13625'})"
"frozenset({'P35548', 'AndrogenReceptor', 'O75593'})"
"frozenset({'AndrogenReceptor', 'Q13485', 'Q04206'})"
"frozenset({'P12694', 'Q92858', 'AndrogenReceptor'})"
"frozenset({'O00571', 'AndrogenReceptor', 'A6NKF1'})"
"frozenset({'Q9H6F5', 'AndrogenReceptor', 'O75147'})"
"frozenset({'Q92793', 'Q01196', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P38646', 'Q01860'})"
"frozenset({'P41252', 'AndrogenReceptor', 'P63173'})"
"frozenset({'P98179', 'AndrogenReceptor', 'P43243'})"
"frozenset({'Q8NC67', 'Q86X19', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O75665', 'Q9H6T3'})"
"frozenset({'Q7Z3E5', 'O75718', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O00425', 'P07814'})"
"frozenset({'Q96Q83', 'Q9Y4A5', 'AndrogenReceptor'})"
"frozenset({'P20226', 'AndrogenReceptor', 'Q12947'})"
"frozenset({'Q9P0V3', 'Q3MII6', 'AndrogenReceptor'})"
"frozenset({'P49207', 'AndrogenReceptor', 'P18621'})"
"frozenset({'Q5T8D3', 'Q96GX5', 'AndrogenReceptor'})"
"frozenset({'Q2TBE0', 'AndrogenReceptor', 'Q2TAC2'})"
"frozenset({'Q8N1B4', 'AndrogenReceptor', 'Q6P5Z2'})"
"frozenset({'P22681', 'AndrogenReceptor', 'P15498'})"
"frozenset({'P14136', 'AndrogenReceptor', 'Q08379'})"
"frozenset({'Q9UN86', 'AndrogenReceptor', 'Q99496'})"
"frozenset({'P12931', 'P78314', 'AndrogenReceptor'})"
"frozenset({'Q9UHX1', 'P61019', 'AndrogenReceptor'})"
"frozenset({'Q9HB75', 'Q06830', 'AndrogenReceptor'})"
"frozenset({'Q9UK80', 'Q9Y3M2', 'AndrogenReceptor'})"
"frozenset({'P05556', 'AndrogenReceptor', 'Q05397'})"
"frozenset({'AndrogenReceptor', 'P78527', 'Q9H7Z6'})"
"frozenset({'AndrogenReceptor', 'Q9NPH3', 'Q9Y3B3'})"
"frozenset({'P16220', 'AndrogenReceptor', 'P18146'})"
"frozenset({'Q86XE0', 'AndrogenReceptor', 'Q9Y5B8'})"
"frozenset({'Q16539', 'AndrogenReceptor', 'O95295'})"
"frozenset({'Q14160', 'AndrogenReceptor', 'O15439'})"
"frozenset({'Q96ME1', 'Q93062', 'AndrogenReceptor'})"
"frozenset({'Q8N201', 'Q8N6M8', 'AndrogenReceptor'})"
"frozenset({'Q16659', 'Q8N122', 'AndrogenReceptor'})"
"frozenset({'P62829', 'P26373', 'AndrogenReceptor'})"
"frozenset({'Q03135', 'AndrogenReceptor', 'P26012'})"
"frozenset({'AndrogenReceptor', 'P45973', 'P67775'})"
"frozenset({'AndrogenReceptor', 'Q99873', 'Q08211'})"
"frozenset({'Q9NQ50', 'AndrogenReceptor', 'O43390'})"
"frozenset({'Q9BRK4', 'P12236', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9P2W3', 'Q8NH85'})"
"frozenset({'Q9BW83', 'AndrogenReceptor', 'P13473'})"
"frozenset({'O75956', 'Q9ULV5', 'AndrogenReceptor'})"
"frozenset({'Q13009', 'AndrogenReceptor', 'P15153'})"
"frozenset({'P59536', 'Q6ICB0', 'AndrogenReceptor'})"
"frozenset({'Q92569', 'P22607', 'AndrogenReceptor'})"
"frozenset({'P01106', 'Q8TD16', 'AndrogenReceptor'})"
"frozenset({'P00533', 'O95155', 'AndrogenReceptor'})"
"frozenset({'P40337', 'Q14CZ7', 'AndrogenReceptor'})"
"frozenset({'Q8IXW5', 'Q13283', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q07890', 'Q8IVF5'})"
"frozenset({'Q93034', 'P07910', 'AndrogenReceptor'})"
"frozenset({'Q13363', 'Q9UKL0', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9HB07', 'Q86X24'})"
"frozenset({'Q9NR30', 'Q7Z2E3', 'AndrogenReceptor'})"
"frozenset({'P12956', 'AndrogenReceptor', 'Q8N9N5'})"
"frozenset({'Q9Y4K3', 'P42858', 'AndrogenReceptor'})"
"frozenset({'Q15637', 'Q9Y376', 'AndrogenReceptor'})"
"frozenset({'P51116', 'AndrogenReceptor', 'Q9NU19'})"
"frozenset({'P63208', 'Q9HC35', 'AndrogenReceptor'})"
"frozenset({'P54687', 'P42694', 'AndrogenReceptor'})"
"frozenset({'O60232', 'AndrogenReceptor', 'Q96A37'})"
"frozenset({'AndrogenReceptor', 'Q9NYL2', 'Q96BV0'})"
"frozenset({'AndrogenReceptor', 'P41743', 'Q8WU20'})"
"frozenset({'Q92597', 'AndrogenReceptor', 'P13639'})"
"frozenset({'P08238', 'P32121', 'AndrogenReceptor'})"
"frozenset({'P20936', 'AndrogenReceptor', 'O14965'})"
"frozenset({'Q9Y4E8', 'Q5VVQ6', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96PE7', 'P05067'})"
"frozenset({'AndrogenReceptor', 'Q9Y6K1', 'P63279'})"
"frozenset({'AndrogenReceptor', 'Q9NRY6', 'P49901'})"
"frozenset({'Q6UXV4', 'AndrogenReceptor', 'Q9Y6H1'})"
"frozenset({'P30559', 'AndrogenReceptor', 'Q13936'})"
"frozenset({'Q70E73', 'AndrogenReceptor', 'Q99961'})"
"frozenset({'P08238', 'AndrogenReceptor', 'Q13464'})"
"frozenset({'P25098', 'AndrogenReceptor', 'Q8NH51'})"
"frozenset({'Q01113', 'P01563', 'AndrogenReceptor'})"
"frozenset({'P31946', 'P55040', 'AndrogenReceptor'})"
"frozenset({'P68106', 'AndrogenReceptor', 'O95865'})"
"frozenset({'P01106', 'AndrogenReceptor', 'Q99684'})"
"frozenset({'Q5VYK3', 'O75695', 'AndrogenReceptor'})"
"frozenset({'Q96BH3', 'Q09472', 'AndrogenReceptor'})"
"frozenset({'Q9BYQ4', 'AndrogenReceptor', 'P49736'})"
"frozenset({'Q9HB71', 'Q9UKT8', 'AndrogenReceptor'})"
"frozenset({'Q9Y2W1', 'AndrogenReceptor', 'Q01167'})"
"frozenset({'Q9UGL1', 'P78363', 'AndrogenReceptor'})"
"frozenset({'P08183', 'P17612', 'AndrogenReceptor'})"
"frozenset({'Q8TEQ6', 'Q92499', 'AndrogenReceptor'})"
"frozenset({'Q6NUN9', 'O00425', 'AndrogenReceptor'})"
"frozenset({'P08754', 'AndrogenReceptor', 'O15303'})"
"frozenset({'AndrogenReceptor', 'P68431', 'Q5FWF5'})"
"frozenset({'P25786', 'AndrogenReceptor', 'P53350'})"
"frozenset({'P08727', 'P61326', 'AndrogenReceptor'})"
"frozenset({'Q7Z7G0', 'AndrogenReceptor', 'P34947'})"
"frozenset({'P36894', 'P27037', 'AndrogenReceptor'})"
"frozenset({'P17861', 'AndrogenReceptor', 'P08670'})"
"frozenset({'Q8IXT5', 'Q96DB2', 'AndrogenReceptor'})"
"frozenset({'P17612', 'AndrogenReceptor', 'Q9Y5P0'})"
"frozenset({'P61088', 'AndrogenReceptor', 'P61086'})"
"frozenset({'Q8IZH2', 'AndrogenReceptor', 'P12830'})"
"frozenset({'P13612', 'Q9Y4G6', 'AndrogenReceptor'})"
"frozenset({'Q9P2W3', 'AndrogenReceptor', 'P27361'})"
"frozenset({'Q9Y3Z3', 'Q96JN0', 'AndrogenReceptor'})"
"frozenset({'P0DP25', 'Q7Z3V4', 'AndrogenReceptor'})"
"frozenset({'Q9Y4K3', 'Q05513', 'AndrogenReceptor'})"
"frozenset({'Q92598', 'AndrogenReceptor', 'P35241'})"
"frozenset({'Q9BV73', 'AndrogenReceptor', 'Q9GZR7'})"
"frozenset({'P17252', 'P12931', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O95222', 'P35626'})"
"frozenset({'Q9Y6K9', 'P01857', 'AndrogenReceptor'})"
"frozenset({'P12956', 'Q9UK17', 'AndrogenReceptor'})"
"frozenset({'P10415', 'AndrogenReceptor', 'Q14318'})"
"frozenset({'Q9BQG0', 'Q9BXB1', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8IXM2', 'Q9NY12'})"
"frozenset({'O94817', 'Q15459', 'AndrogenReceptor'})"
"frozenset({'Q9GZS3', 'AndrogenReceptor', 'O15514'})"
"frozenset({'P03372', 'Q9NVP1', 'AndrogenReceptor'})"
"frozenset({'Q15181', 'Q15047', 'AndrogenReceptor'})"
"frozenset({'Q17RB8', 'AndrogenReceptor', 'Q6PI77'})"
"frozenset({'O00303', 'Q9NP98', 'AndrogenReceptor'})"
"frozenset({'Q8NHH9', 'P51532', 'AndrogenReceptor'})"
"frozenset({'O60934', 'AndrogenReceptor', 'O94762'})"
"frozenset({'P62318', 'AndrogenReceptor', 'Q9H0R8'})"
"frozenset({'Q14164', 'AndrogenReceptor', 'P13667'})"
"frozenset({'P35626', 'AndrogenReceptor', 'Q8NGE1'})"
"frozenset({'Q8WYR1', 'AndrogenReceptor', 'O95450'})"
"frozenset({'O00305', 'AndrogenReceptor', 'P67775'})"
"frozenset({'Q9BTZ2', 'Q13011', 'AndrogenReceptor'})"
"frozenset({'P48200', 'P67809', 'AndrogenReceptor'})"
"frozenset({'P05112', 'AndrogenReceptor', 'P15509'})"
"frozenset({'P25786', 'AndrogenReceptor', 'Q06323'})"
"frozenset({'AndrogenReceptor', 'Q15022', 'Q9Y4W6'})"
"frozenset({'AndrogenReceptor', 'P16591', 'P40763'})"
"frozenset({'AndrogenReceptor', 'A8MQ03', 'P31273'})"
"frozenset({'P19338', 'AndrogenReceptor', 'Q00987'})"
"frozenset({'Q969P0', 'AndrogenReceptor', 'P42766'})"
"frozenset({'Q8WUE5', 'AndrogenReceptor', 'Q9UFF9'})"
"frozenset({'P32249', 'AndrogenReceptor', 'Q14232'})"
"frozenset({'Q2I0M4', 'AndrogenReceptor', 'Q9Y5J5'})"
"frozenset({'Q8IY21', 'P00533', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O75676', 'P68431'})"
"frozenset({'P78362', 'AndrogenReceptor', 'P05155'})"
"frozenset({'Q07666', 'AndrogenReceptor', 'P05412'})"
"frozenset({'P13010', 'AndrogenReceptor', 'P27694'})"
"frozenset({'Q9H4B4', 'AndrogenReceptor', 'P30304'})"
"frozenset({'Q6ZU80', 'AndrogenReceptor', 'Q66GS9'})"
"frozenset({'P01137', 'AndrogenReceptor', 'P47813'})"
"frozenset({'P29350', 'AndrogenReceptor', 'P15260'})"
"frozenset({'Q8WUQ7', 'AndrogenReceptor', 'Q14562'})"
"frozenset({'P31749', 'AndrogenReceptor', 'P23443'})"
"frozenset({'AndrogenReceptor', 'Q6IQ23', 'P25205'})"
"frozenset({'AndrogenReceptor', 'P15173', 'Q02078'})"
"frozenset({'Q99613', 'AndrogenReceptor', 'P49736'})"
"frozenset({'Q15691', 'Q8IVL1', 'AndrogenReceptor'})"
"frozenset({'Q9ULV4', 'AndrogenReceptor', 'Q6IQ23'})"
"frozenset({'Q562F6', 'Q15013', 'AndrogenReceptor'})"
"frozenset({'P61221', 'AndrogenReceptor', 'P18077'})"
"frozenset({'Q6NT76', 'AndrogenReceptor', 'O95363'})"
"frozenset({'Q8WTX7', 'Q96S15', 'AndrogenReceptor'})"
"frozenset({'Q9NV70', 'P04629', 'AndrogenReceptor'})"
"frozenset({'O75396', 'Q15942', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q13547', 'O95983'})"
"frozenset({'Q92793', 'AndrogenReceptor', 'P18848'})"
"frozenset({'P04049', 'P31327', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q7L5Y6', 'Q13451'})"
"frozenset({'Q96L34', 'O94964', 'AndrogenReceptor'})"
"frozenset({'Q9UBP0', 'AndrogenReceptor', 'Q7LBR1'})"
"frozenset({'O43813', 'AndrogenReceptor', 'P49736'})"
"frozenset({'Q9Y3P9', 'P04629', 'AndrogenReceptor'})"
"frozenset({'Q9Y6M9', 'AndrogenReceptor', 'P45880'})"
"frozenset({'Q9HCE1', 'AndrogenReceptor', 'Q08357'})"
"frozenset({'Q969J5', 'P05112', 'AndrogenReceptor'})"
"frozenset({'Q15269', 'AndrogenReceptor', 'O75147'})"
"frozenset({'Q9NVD7', 'P26010', 'AndrogenReceptor'})"
"frozenset({'Q5VZ89', 'P49336', 'AndrogenReceptor'})"
"frozenset({'Q96PV7', 'AndrogenReceptor', 'P49841'})"
"frozenset({'Q15796', 'AndrogenReceptor', 'Q8IZQ8'})"
"frozenset({'P22735', 'O75752', 'AndrogenReceptor'})"
"frozenset({'Q9NRM7', 'P46531', 'AndrogenReceptor'})"
"frozenset({'Q9BRK4', 'AndrogenReceptor', 'P52298'})"
"frozenset({'P11021', 'AndrogenReceptor', 'Q04864'})"
"frozenset({'AndrogenReceptor', 'P01116', 'O14827'})"
"frozenset({'AndrogenReceptor', 'Q9HD33', 'Q7Z7H8'})"
"frozenset({'Q9Y490', 'AndrogenReceptor', 'Q05397'})"
"frozenset({'P51671', 'AndrogenReceptor', 'P61073'})"
"frozenset({'P04843', 'AndrogenReceptor', 'Q8NBX0'})"
"frozenset({'P04629', 'AndrogenReceptor', 'Q9Y6K5'})"
"frozenset({'Q8N7W2', 'AndrogenReceptor', 'O14647'})"
"frozenset({'P68400', 'AndrogenReceptor', 'Q9Y2Z0'})"
"frozenset({'Q9BXW9', 'P01106', 'AndrogenReceptor'})"
"frozenset({'Q9BV73', 'P11021', 'AndrogenReceptor'})"
"frozenset({'Q14493', 'AndrogenReceptor', 'P06493'})"
"frozenset({'AndrogenReceptor', 'Q9H3D4', 'Q9BZF9'})"
"frozenset({'Q8WU17', 'AndrogenReceptor', 'O94905'})"
"frozenset({'O14807', 'AndrogenReceptor', 'P63215'})"
"frozenset({'P35754', 'AndrogenReceptor', 'P49736'})"
"frozenset({'O14879', 'AndrogenReceptor', 'P05067'})"
"frozenset({'Q9NWT6', 'AndrogenReceptor', 'Q9UKZ1'})"
"frozenset({'P07195', 'AndrogenReceptor', 'Q15056'})"
"frozenset({'P04792', 'Q9UJY1', 'AndrogenReceptor'})"
"frozenset({'P10635', 'P41235', 'AndrogenReceptor'})"
"frozenset({'P56537', 'AndrogenReceptor', 'P35637'})"
"frozenset({'AndrogenReceptor', 'Q92769', 'Q13422'})"
"frozenset({'A1L4K1', 'AndrogenReceptor', 'Q8NEF3'})"
"frozenset({'Q9NQW6', 'Q9BR76', 'AndrogenReceptor'})"
"frozenset({'Q9UBS8', 'P21580', 'AndrogenReceptor'})"
"frozenset({'Q15813', 'AndrogenReceptor', 'P58340'})"
"frozenset({'O00764', 'AndrogenReceptor', 'Q9UBU9'})"
"frozenset({'Q9GZM8', 'P60953', 'AndrogenReceptor'})"
"frozenset({'O15020', 'AndrogenReceptor', 'P62140'})"
"frozenset({'Q96MG7', 'Q96SB8', 'AndrogenReceptor'})"
"frozenset({'Q9UHX1', 'P62306', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P24941', 'Q99708'})"
"frozenset({'P32780', 'Q01831', 'AndrogenReceptor'})"
"frozenset({'Q9BYZ2', 'AndrogenReceptor', 'P84077'})"
"frozenset({'Q13009', 'O43166', 'AndrogenReceptor'})"
"frozenset({'P14373', 'AndrogenReceptor', 'P0CG20'})"
"frozenset({'AndrogenReceptor', 'P11308', 'P12830'})"
"frozenset({'P01241', 'AndrogenReceptor', 'P48357'})"
"frozenset({'O94966', 'AndrogenReceptor', 'Q99729'})"
"frozenset({'Q13618', 'AndrogenReceptor', 'P46783'})"
"frozenset({'Q93074', 'AndrogenReceptor', 'Q15648'})"
"frozenset({'P15172', 'AndrogenReceptor', 'Q01196'})"
"frozenset({'AndrogenReceptor', 'Q7Z6Z7', 'Q32NC0'})"
"frozenset({'P39019', 'Q8WWY3', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P55263', 'Q96EP5'})"
"frozenset({'AndrogenReceptor', 'P20333', 'Q15645'})"
"frozenset({'Q9H765', 'AndrogenReceptor', 'Q9UJS0'})"
"frozenset({'Q99471', 'Q8IVT2', 'AndrogenReceptor'})"
"frozenset({'Q15560', 'AndrogenReceptor', 'Q9UGI0'})"
"frozenset({'Q9P2H3', 'Q8TDR0', 'AndrogenReceptor'})"
"frozenset({'Q9BXB1', 'AndrogenReceptor', 'Q01814'})"
"frozenset({'P07942', 'P01137', 'AndrogenReceptor'})"
"frozenset({'O43818', 'AndrogenReceptor', 'Q9UL40'})"
"frozenset({'AndrogenReceptor', 'Q9BPZ7', 'Q9BXM7'})"
"frozenset({'O14964', 'Q08043', 'AndrogenReceptor'})"
"frozenset({'P61224', 'AndrogenReceptor', 'P41134'})"
"frozenset({'Q14028', 'AndrogenReceptor', 'Q96GE6'})"
"frozenset({'Q9H7L9', 'AndrogenReceptor', 'Q96T49'})"
"frozenset({'Q96C28', 'AndrogenReceptor', 'P82675'})"
"frozenset({'Q8IYA8', 'Q8NA54', 'AndrogenReceptor'})"
"frozenset({'Q15915', 'Q8N0U6', 'AndrogenReceptor'})"
"frozenset({'Q92598', 'AndrogenReceptor', 'P05412'})"
"frozenset({'AndrogenReceptor', 'Q8N365', 'P07951'})"
"frozenset({'Q00005', 'AndrogenReceptor', 'O60840'})"
"frozenset({'AndrogenReceptor', 'Q7Z494', 'O15259'})"
"frozenset({'Q9UKX3', 'Q92731', 'AndrogenReceptor'})"
"frozenset({'Q96G23', 'O60779', 'AndrogenReceptor'})"
"frozenset({'Q9H492', 'AndrogenReceptor', 'Q99814'})"
"frozenset({'Q8TBB5', 'Q9HCE1', 'AndrogenReceptor'})"
"frozenset({'P19793', 'AndrogenReceptor', 'P29590'})"
"frozenset({'Q6ZUT1', 'AndrogenReceptor', 'Q14498'})"
"frozenset({'O43143', 'Q99459', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96CW1', 'Q96H55'})"
"frozenset({'Q15051', 'AndrogenReceptor', 'P04075'})"
"frozenset({'Q5VT06', 'AndrogenReceptor', 'Q2KHM9'})"
"frozenset({'P52294', 'AndrogenReceptor', 'Q14669'})"
"frozenset({'P83881', 'AndrogenReceptor', 'P27635'})"
"frozenset({'P49917', 'AndrogenReceptor', 'P03915'})"
"frozenset({'Q13315', 'AndrogenReceptor', 'Q9H583'})"
"frozenset({'O75360', 'AndrogenReceptor', 'P35070'})"
"frozenset({'Q9UJL9', 'AndrogenReceptor', 'P49736'})"
"frozenset({'P04629', 'Q8NEB9', 'AndrogenReceptor'})"
"frozenset({'P36894', 'P08238', 'AndrogenReceptor'})"
"frozenset({'P49959', 'Q16695', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P14314', 'Q14999'})"
"frozenset({'Q7KZF4', 'AndrogenReceptor', 'P13797'})"
"frozenset({'Q96CN7', 'AndrogenReceptor', 'Q8N543'})"
"frozenset({'Q13569', 'AndrogenReceptor', 'P78317'})"
"frozenset({'AndrogenReceptor', 'P35240', 'P14868'})"
"frozenset({'P63098', 'Q9NP86', 'AndrogenReceptor'})"
"frozenset({'Q96GF1', 'P14625', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P60033', 'Q05707'})"
"frozenset({'Q9C0J9', 'P19784', 'AndrogenReceptor'})"
"frozenset({'P16520', 'AndrogenReceptor', 'Q15759'})"
"frozenset({'Q9H6E5', 'AndrogenReceptor', 'Q86UT8'})"
"frozenset({'P25787', 'P62877', 'AndrogenReceptor'})"
"frozenset({'Q8IWL3', 'AndrogenReceptor', 'P38117'})"
"frozenset({'P62873', 'AndrogenReceptor', 'P53779'})"
"frozenset({'O43306', 'AndrogenReceptor', 'Q13554'})"
"frozenset({'Q15637', 'P21127', 'AndrogenReceptor'})"
"frozenset({'Q96D53', 'AndrogenReceptor', 'Q9Y2Z9'})"
"frozenset({'Q13395', 'O75695', 'AndrogenReceptor'})"
"frozenset({'Q9HCE1', 'AndrogenReceptor', 'Q9H0R3'})"
"frozenset({'AndrogenReceptor', 'Q99750', 'Q3V5L5'})"
"frozenset({'Q9Y5K6', 'AndrogenReceptor', 'O43248'})"
"frozenset({'Q9C0D5', 'Q7Z7A1', 'AndrogenReceptor'})"
"frozenset({'E9PAV3', 'AndrogenReceptor', 'P20290'})"
"frozenset({'AndrogenReceptor', 'P51610', 'P52435'})"
"frozenset({'P62910', 'P62829', 'AndrogenReceptor'})"
"frozenset({'Q9UH77', 'Q53G59', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P05362', 'Q12905'})"
"frozenset({'AndrogenReceptor', 'Q06323', 'Q9Y5Y2'})"
"frozenset({'AndrogenReceptor', 'P13639', 'P35241'})"
"frozenset({'Q8N1B4', 'AndrogenReceptor', 'P27361'})"
"frozenset({'Q9Y3Z3', 'O00469', 'AndrogenReceptor'})"
"frozenset({'P30050', 'AndrogenReceptor', 'P24941'})"
"frozenset({'Q13547', 'AndrogenReceptor', 'Q7L2E3'})"
"frozenset({'P00533', 'AndrogenReceptor', 'O76031'})"
"frozenset({'AndrogenReceptor', 'Q13485', 'O15151'})"
"frozenset({'O60645', 'AndrogenReceptor', 'P53582'})"
"frozenset({'Q8IWL3', 'AndrogenReceptor', 'Q8TB36'})"
